boundaries,deadends,cornerenc,class
1,4,0d2a0a2b0a2b0c,K
1,4,0a0d2b0b2d0b2c,K
1,3,1a0d2a0a2b0a2b1c,K
1,4,0a0b2b0a2d0b2c,K
1,3,0d0a1d0c,k
1,3,0d0a1d0c,k
1,4,0a0b2b0b2d0c,k
1,3,0a2d2b0a1d2b0c,J
1,2,0c0c,j
1,1,0c2d1c,j
1,2,0c0c,j
1,2,0a2d0d1c,j
1,2,0d0d1c,j
1,2,0a0a,j
1,2,0c0c,j
1,1,2c0b1a,j
1,2,0c0c,j
1,1,0c2d1c,j
1,1,1a0a,i
1,0,1a1a1a1c,i
1,1,1a0a,i
1,1,0c1c,i
1,1,0c,i
1,2,0b1a0c,i
1,1,1a0a,i
1,2,1a2d0d1b1a0c,J
1,1,1a2d0d1c,J
1,2,0d2d0d2c,J
1,2,0c0c,J
1,2,1a0b2b0d2c,h
1,2,1a0b2b0d2c,h
1,1,0c1c,i
1,2,0c0c,i
1,2,0d2a2b1a0d2a2d1c,I
1,2,0a0a,I
1,3,0a0a0c,I
1,2,0a2d0a2c,I
1,2,0a2d1b0d2b2c,I
1,2,0c0c,i
1,1,0c,i
1,2,1a0d1a0c,i
1,3,1a0b2a0d0d2c,H
1,5,0a0d1b2b0a0d1b2b0c,H
1,3,0a0d2b0a2d1b2c,H
1,4,2a0a2b2b0d1a0d1b2b2b0c,H
1,3,0a0d0d2b1c,h
1,4,1a0b2d0b0d0c,h
1,3,0d0b2a0d2c,h
1,3,0a0d0c,G
2,2,2d0c0c,g
2,1,2d1c0c,g
2,2,2a0c0d2c,g
2,2,2a0d0c,g
3,0,2d2d1c1d2c,g
1,4,1a0b2d0a0b2d0c,H
2,2,0d1b2c0a,f
2,4,0b2d0b0a0c,f
1,2,2d1a0b2c0c,G
1,3,1b0b0a2d0c,G
1,3,0a1b1b0d1d2a2b0c,G
1,2,1a1a0d2c0c,G
1,3,1a0d0d2d0c,f
1,3,1a0d0d2a0c,f
1,2,1a1d0d2b2a0c,f
1,4,0c0b2b0b2d2a0a2b2c,f
2,2,1a1b2b0b2d1a0c,f
1,3,1a1b2d0a0d2d0c,f
1,5,0a0b0b2d0d2b0c,F
1,2,1a0b2d2d0c,F
1,2,0a0d2d2b1c,f
1,2,2a1b0b2b2d0c,f
1,1,2d2a2b0a2d2d2c,f
1,1,2a0b2d2b1c,f
1,3,0b0a0a2b2c,f
1,2,1b1d0d1a0c,f
1,5,1a0b2b2d0b0a0a1b2d0c,f
2,1,0d2a1c,e
3,0,1c2c,e
3,0,2c1c,e
3,0,2c2c,e
3,3,0b1a0b0b1a1c,e
3,0,2c2c,e
1,2,1a0d2d2d0c,F
1,3,0a2d1b2b0b2d0c,F
1,3,1a0b1b0b2a0c,F
1,3,1a1a0a2b2b0b2b2b0c,E
1,2,1a0d2d0d2d1c,E
1,2,1a1b0d2d2d0c,E
1,4,1a0b0d2d0d2d0c,E
2,1,0b2a1c,e
2,3,0a1b0d2d2b1b0c,e
2,2,1a1b0d2d2d0c,e
2,1,0b2a1c,e
2,2,0c0c,D
2,2,0c1a0b1b,d
2,0,1a1c,D
2,0,1a1a,D
2,2,0b2d1d2a0c,d
2,2,2d0b0a1c,d
2,1,0d2c2a,d
2,1,1b2d2a0c,d
1,3,0a2a0d2b2b2b0b2d2d1c,E
1,2,0c0c,c
1,2,0c2d0c,c
1,2,0c0c,c
1,2,0c0c,c
1,2,0d1c0c,c
1,2,0a2a0c,c
2,1,0c1c,D
2,1,1a0b1a1c,D
2,1,0d2a1c,b
2,1,1a0d2c,b
2,2,0a0d2b1c,b
2,2,0a0d2b1c,b
2,2,0d0c2c,b
1,2,1a0d0d2d2b2d1c,c
1,2,0d0a1c,c
1,2,1a1d0d2a2d0d1c,C
1,2,0c0c,C
2,1,2c0a,a
3,1,2b1a2a0b1c,a
2,2,0d2d2d0c,a
